marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,13171298,R2B04GEFNKQS3V,B004KO3WEI,7024,"CNB BBM-24F 1/3"" Sony SuperHAD Color D/N Camera 600TVL Dual Voltage",Camera,5,0,0,N,Y,Five Stars,Very good quality for the price.,11/14/2014
US,20863885,R24N25JM6ENZ4W,B009HZU2UC,11917,Focus Professional Floating Foam Strap in Red,Camera,1,0,0,N,N,Don't waste your money!,"This came as part of a camera package I purchased, but it is garbage. It snapped on the second day I used it. Fortunately I had the regular camera strap over my wrist, otherwise I might have lost my camera. Unfortunately It didn't come with replacement information, so I'm out the money.",1/2/2014
US,44827135,R2NK5IGNHBYRHY,B00GS7ZVTE,29752,Geisha Umbrella Phone Case Shell for BlackBerry Curve 8520,Camera,5,0,0,N,N,Five Stars,No problems with my order.,8/19/2014
US,52046324,RWW1ODJO490HF,B00GS7ZVTE,29752,Geisha Umbrella Phone Case Shell for BlackBerry Curve 8520,Camera,1,0,0,N,N,One Star,didn't last long,8/16/2014
US,5274096,R2YN9JLWIGHIKD,B00962579M,30219,2 Replacement BP-727 Batteries + 1 Charger for Canon VIXIA HF R32 Full HD Camcorder,Camera,5,0,0,N,Y,Five Stars,Good!,9/3/2014
US,196019,R3IV5YPPVENVWW,B00SCRU5JO,37877,"EEEKit 9in1 Kit for Sony AS10/AS30/AS100/AS200,Ion Air Pro 2/3 Wifi Action Sport Camera,Bike/Helmet/Selfie Pole/Tripod/Car/Shoulder/Sun Visor/Wrist/Floaty Grip Mount",Camera,5,0,0,N,Y,Five Stars,Great Deal...,8/2/2015
US,3175645,R3P7STBE0VW2TD,B00SCRU5JO,37877,"EEEKit 9in1 Kit for Sony AS10/AS30/AS100/AS200,Ion Air Pro 2/3 Wifi Action Sport Camera,Bike/Helmet/Selfie Pole/Tripod/Car/Shoulder/Sun Visor/Wrist/Floaty Grip Mount",Camera,5,0,0,N,Y,Five Stars,Great kit!!!,7/28/2015
US,14287272,R1E87VDLEUEFB1,B00SCRU5JO,37877,"EEEKit 9in1 Kit for Sony AS10/AS30/AS100/AS200,Ion Air Pro 2/3 Wifi Action Sport Camera,Bike/Helmet/Selfie Pole/Tripod/Car/Shoulder/Sun Visor/Wrist/Floaty Grip Mount",Camera,3,0,0,N,Y,Three Stars,The screw was too short to fit into several of the pieces.,5/8/2015
US,39965141,RQB6VU4VQE61N,B00SCRU5JO,37877,"EEEKit 9in1 Kit for Sony AS10/AS30/AS100/AS200,Ion Air Pro 2/3 Wifi Action Sport Camera,Bike/Helmet/Selfie Pole/Tripod/Car/Shoulder/Sun Visor/Wrist/Floaty Grip Mount",Camera,4,1,1,N,Y,I have an ion air pro lite. I got ...,I have an ion air pro lite.  I got these attachments for it.  Most of them fit.  4 or 5 did not.  It wasn't worth sending back so i just modified the ones that didn't hold with longer bolts and washers.  It was worth the bigger kit.,4/23/2015
US,42954234,R2W70INZ73O9TL,B00SCRU5JO,37877,"EEEKit 9in1 Kit for Sony AS10/AS30/AS100/AS200,Ion Air Pro 2/3 Wifi Action Sport Camera,Bike/Helmet/Selfie Pole/Tripod/Car/Shoulder/Sun Visor/Wrist/Floaty Grip Mount",Camera,3,1,1,N,Y,cheaply made. the screws are short and hard to ...,cheaply made. the screws are short and hard to thread into camera. I can get a couple threads in but I worry it will come lose or strip because it is held by so few threads (about two). One for the Velcro straps came apart.,4/2/2015
